REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Chile,2015,2278.356691,wildfire
Chile,2016,645.4088852,wildfire
Chile,2017,5063.729328,wildfire
Chile,2018,379.0062292,wildfire
Chile,2019,1103.070055,wildfire
Chile,2020,940.7371518,wildfire
Colombia,2001,24656.01662,wildfire
Colombia,2002,17950.84719,wildfire
Colombia,2003,32707.92789,wildfire
Colombia,2004,38333.23909,wildfire
Colombia,2005,19024.87161,wildfire
Colombia,2006,18868.2482,wildfire
Colombia,2007,37403.67857,wildfire
Colombia,2008,24403.22797,wildfire
Colombia,2009,17742.409,wildfire
Colombia,2010,19973.76403,wildfire
Colombia,2011,15574.2777,wildfire
Colombia,2012,13484.21231,wildfire
Colombia,2013,17419.40273,wildfire
Colombia,2014,24693.07244,wildfire
Colombia,2015,14337.4252,wildfire
Colombia,2016,19594.16583,wildfire
Colombia,2017,12155.60473,wildfire
Colombia,2018,25469.38891,wildfire
Colombia,2019,17372.43215,wildfire
Colombia,2020,23156.50932,wildfire
Costa Rica,2001,413.1371887,wildfire
Costa Rica,2002,283.9438589,wildfire
Costa Rica,2003,397.9482347,wildfire
Costa Rica,2004,315.74187,wildfire
Costa Rica,2005,195.2674489,wildfire
Costa Rica,2006,155.973651,wildfire
Costa Rica,2007,307.8633369,wildfire
Costa Rica,2008,178.6566732,wildfire
Costa Rica,2009,253.1795962,wildfire
Costa Rica,2010,255.6584045,wildfire
Costa Rica,2011,150.1464582,wildfire
Costa Rica,2012,336.4138972,wildfire
Costa Rica,2013,537.9482181,wildfire
Costa Rica,2014,390.9446332,wildfire
Costa Rica,2015,492.911725,wildfire
Costa Rica,2016,546.5636504,wildfire
Costa Rica,2017,314.788182,wildfire
Costa Rica,2018,397.6981087,wildfire
Costa Rica,2019,436.0194884,wildfire
Costa Rica,2020,378.4549829,wildfire
Czech Republic,2001,17.80248581,wildfire
Czech Republic,2002,4.133524906,wildfire
Czech Republic,2003,39.76651357,wildfire
Czech Republic,2004,8.833298924,wildfire
Czech Republic,2005,23.94443181,wildfire
Czech Republic,2006,1.54690935,wildfire
Czech Republic,2007,23.04237548,wildfire
Czech Republic,2008,7.082138747,wildfire
Czech Republic,2009,6.85171185,wildfire
Czech Republic,2010,3.091525105,wildfire
Czech Republic,2011,4.342259323,wildfire
Czech Republic,2012,23.71747376,wildfire
Czech Republic,2013,3.41081095,wildfire
Czech Republic,2014,7.449390511,wildfire
Czech Republic,2015,28.44351732,wildfire
Czech Republic,2016,14.11283419,wildfire
Czech Republic,2017,46.08674141,wildfire
Czech Republic,2018,7.435497433,wildfire
Czech Republic,2019,41.63691892,wildfire
