REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Finland,2015,3.461187196,drought
Finland,2016,2.718776407,drought
Finland,2016,2.80220227,drought
Finland,2017,2.354279268,drought
Finland,2017,3.444264809,drought
Finland,2018,-3.034205914,drought
Finland,2018,-4.458233581,drought
Finland,2019,0.10627312,drought
Finland,2019,0.253983486,drought
Finland,2020,1.634249464,drought
Finland,2020,1.711091864,drought
France,2001,2.410037347,drought
France,2001,1.67739326,drought
France,2002,2.178289441,drought
France,2002,1.866937268,drought
France,2003,-7.115500055,drought
France,2003,-6.24915266,drought
France,2004,-3.046852144,drought
France,2004,-2.746437281,drought
France,2005,-4.557033367,drought
France,2005,-3.602918401,drought
France,2006,-0.815601953,drought
France,2006,-0.555122301,drought
France,2007,1.780864749,drought
France,2007,1.348515663,drought
France,2008,3.717895658,drought
France,2008,2.75774133,drought
France,2009,-3.049094635,drought
France,2009,-2.943367729,drought
France,2010,-1.562328363,drought
France,2010,-0.428204356,drought
France,2011,-7.871851243,drought
France,2011,-5.880958563,drought
France,2012,0.349653344,drought
France,2012,0.038334991,drought
France,2013,2.276556917,drought
France,2013,2.303150624,drought
France,2014,1.834978778,drought
France,2014,1.268973742,drought
France,2015,-4.349039028,drought
France,2015,-4.053153238,drought
France,2016,-1.873007838,drought
France,2016,-1.565526616,drought
France,2017,-5.110953769,drought
France,2017,-4.16580885,drought
France,2018,-4.695831855,drought
France,2018,-3.60570215,drought
France,2019,-4.38497581,drought
France,2019,-3.781285348,drought
France,2020,-5.924142613,drought
France,2020,-4.764316592,drought
Germany,2001,2.647573347,drought
Germany,2001,2.926826318,drought
Germany,2002,3.183213786,drought
Germany,2002,3.467136095,drought
Germany,2003,-9.473118772,drought
Germany,2003,-9.815392658,drought
Germany,2004,0.066863384,drought
Germany,2004,0.187207658,drought
Germany,2005,-0.689986908,drought
Germany,2005,-0.662686899,drought
Germany,2006,-2.162338966,drought
Germany,2006,-2.313087187,drought
Germany,2007,2.343141599,drought
Germany,2007,2.525914805,drought
Germany,2008,-0.340694783,drought
Germany,2008,-0.528668687,drought
Germany,2009,-0.452025276,drought
Germany,2009,-0.715377238,drought
Germany,2010,0.806904013,drought
Germany,2010,0.931249425,drought
Germany,2011,-4.199233627,drought
Germany,2011,-4.144661745,drought
Germany,2012,-0.272501629,drought
Germany,2012,-0.401042274,drought
Germany,2013,1.005499859,drought
Germany,2013,1.065483066,drought
Germany,2014,0.90685899,drought
Germany,2014,1.042071354,drought
Germany,2015,-3.138371828,drought
Germany,2015,-2.901996669,drought
Germany,2016,-2.048521346,drought
Germany,2016,-2.488289047,drought
Germany,2017,2.058607718,drought
Germany,2017,2.410992953,drought
Germany,2018,-13.78688069,drought
Germany,2018,-14.48620011,drought
Germany,2019,-4.401069223,drought
Germany,2019,-4.607081061,drought
Germany,2020,-6.65043471,drought
Germany,2020,-6.690619924,drought
Greece,2001,-6.537389809,drought
Greece,2001,-7.062007652,drought
Greece,2002,7.356860317,drought
Greece,2002,6.516190643,drought
Greece,2003,4.213937301,drought
Greece,2003,3.772826275,drought
Greece,2004,1.663566069,drought
Greece,2004,2.05437605,drought
Greece,2005,1.756828386,drought
Greece,2005,1.826807829,drought
Greece,2006,4.051475289,drought
Greece,2006,4.272615827,drought
Greece,2007,-1.036845639,drought
Greece,2007,-0.266705094,drought
Greece,2008,-5.137142435,drought
Greece,2008,-5.169382843,drought
Greece,2009,6.995384627,drought
Greece,2009,6.545827006,drought
